"STATION","NAME","DATE","CDSD","CLDD","DT00","DT32","DX32","DX70","DX90","EMNT","EMXT","FZF0","FZF1","FZF2","FZF3","FZF5","FZF6","FZF7","HDSD","HTDD","TAVG","TMAX","TMIN"
"AR000087860","COMODORO RIVADAVIA, AR","1986","195.7","195.7","         0","        25","         0","       117","         1","-5.3","33.5","-1.1","-4.6","-4.6",,"-1.3","-3.2",,"2188.0","2188.0","12.8","17.9","7.7"
"AR000087860","COMODORO RIVADAVIA, AR","1987","232.9","232.9","         0","        11","         0","       136","         8","-3.0","35.0","-0.4","-2.4",,,"-3.0","-3.0",,"2048.9","2048.9","13.4","18.4","8.5"
"AR000087860","COMODORO RIVADAVIA, AR","1988","172.3","172.3","         0","        23","         0","       128","         4","-4.8","35.6","-0.1","-3.1","-4.8",,"-0.3","-2.5",,"2094.5","2094.5","13.0","18.2","7.7"
"AR000087860","COMODORO RIVADAVIA, AR","1989",,,"         0","        18",,,,"-3.8",,"-1.0","-3.8",,,"-1.0",,,,,,,"8.0"
"AR000087860","COMODORO RIVADAVIA, AR","1990","184.9","184.9","         0","        20","         0","       138","         7","-3.4","35.4","-1.0","-2.6",,,"-0.9","-3.4",,"1868.0","1868.0","13.8","19.3","8.3"
"AR000087860","COMODORO RIVADAVIA, AR","1991","287.0","287.0","         0","        32","         0","       125","         8","-4.7","36.5","-1.2","-3.4","-4.7",,"-1.2","-2.3",,"2230.6","2230.6","12.9","18.0","7.8"
"AR000087860","COMODORO RIVADAVIA, AR","1992","210.5","210.5","         0","        36","         0","       127","         5","-5.3","37.4","-0.4","-2.3","-5.3",,"-2.2","-2.2",,"2310.0","2310.0","12.6","17.5","7.6"
"AR000087860","COMODORO RIVADAVIA, AR","1993","186.5","186.5","         0","        23","         0","       144","         7","-6.1","34.5","-0.2","-3.3","-6.1",,,,,"1970.9","1970.9","13.6","19.0","8.2"
"AR000087860","COMODORO RIVADAVIA, AR","1994","207.7","207.7","         0","        20","         0","       124","         9","-3.6","35.6","-0.4","-3.0",,,"-0.2","-3.6",,"2132.6","2132.6","13.0","18.3","7.8"
"AR000087860","COMODORO RIVADAVIA, AR","1995","152.7","152.7","         0","        41","         0","       126","         9","-7.1","38.6","-0.2","-3.1","-6.2","-7.1","-1.8","-3.4","-4.5","2318.3","2318.3","12.6","17.9","7.2"
"AR000087860","COMODORO RIVADAVIA, AR","1996","205.9","205.9","         0","        16","         0","       135","         1","-5.6","33.6","-0.1","-2.5","-4.6",,"-0.3","-3.0",,"1879.7","1879.7","13.6","19.1","8.2"
"AR000087860","COMODORO RIVADAVIA, AR","1997","179.8","179.8","         0","        24","         0","       115","         5","-4.8","39.2","-0.1","-2.6","-4.7",,"-1.8","-2.8","-4.8","2219.7","2219.7","12.7","17.8","7.6"
"AR000087860","COMODORO RIVADAVIA, AR","1998","152.2","152.2","         0","        10","         0","       147","         4","-1.5","34.3","-0.7",,,,"-1.5",,,"1703.8","1703.8","14.3","19.4","9.1"
"AR000087860","COMODORO RIVADAVIA, AR","1999","222.9","222.9","         0","        22","         0","       148","         8","-3.5","35.0","-0.6","-3.1",,,"-2.9","-2.9",,"1962.7","1962.7","13.6","19.1","8.1"
"AR000087860","COMODORO RIVADAVIA, AR","2000","200.6","200.6","         0","        35","         0","       125","         2","-5.5","35.2","-1.1","-3.8","-5.5",,"-0.4","-5.1","-5.1","2371.1","2371.1","12.3","17.6","6.9"
"AR000087860","COMODORO RIVADAVIA, AR","2001","180.0","180.0","         0","        24","         2","       141","         3","-7.5","34.4","-0.6","-2.4","-5.6","-7.0","-2.9","-2.9",,"2175.9","2175.9","13.0","18.4","7.6"
"AR000087860","COMODORO RIVADAVIA, AR","2002","209.2","209.2","         0","        33","         0","       115","         5","-6.7","37.5","-3.4","-3.4","-4.8","-6.7","-1.2","-3.1",,"2386.5","2386.5","12.3","17.5","7.1"
"AR000087860","COMODORO RIVADAVIA, AR","2003","192.6","192.6","         0","        13","         0","       118","         1","-2.5","35.5","-0.5","-2.5",,,"-0.1",,,"2013.7","2013.7","13.3","18.6","8.1"
"AR000087860","COMODORO RIVADAVIA, AR","2004",,,"         0","        10",,,,"-4.0",,"-2.0","-3.7",,,"-0.8","-2.7",,,,,,"8.3"
"AR000087860","COMODORO RIVADAVIA, AR","2018",,,"         0","        23",,,,"-4.6",,"-0.9","-3.8","-4.6",,"0.0",,,,,,,"8.0"
"AR000087860","COMODORO RIVADAVIA, AR","2019",,,"         0","        21",,,,"-3.3",,"-3.3","-3.3",,,"-0.4","-3.3",,,,,,"7.8"
